"","date","GICS_SECTOR_NAME","div_yld"
"113",2018-04-24,"Real Estate",4.30424928930263
"114",2018-04-30,"Energy",4.13585431113343
"115",2018-04-30,"Materials",3.23762525318674
"116",2018-04-30,"Industrials",2.60697047706764
"117",2018-04-30,"Consumer Discretionary",2.0257556773989
"118",2018-04-30,"Consumer Staples",3.21222606662255
"119",2018-04-30,"Health Care",2.69553420220417
"120",2018-04-30,"Financials",3.14495102116145
"121",2018-04-30,"Information Technology",1.81068713440103
"122",2018-04-30,"Communication Services",1.59779179639709
"123",2018-04-30,"Utilities",4.55580144476212
"124",2018-04-30,"Real Estate",4.17486112242252
"125",2018-05-07,"Energy",3.57812084153417
"126",2018-05-07,"Materials",2.88499283544308
"127",2018-05-07,"Industrials",2.35278090112397
"128",2018-05-07,"Consumer Discretionary",1.87655906313565
"129",2018-05-07,"Consumer Staples",3.12543270941064
"130",2018-05-07,"Health Care",2.17701253577987
"131",2018-05-07,"Financials",2.94744057881156
"132",2018-05-07,"Information Technology",1.56842807289936
"133",2018-05-07,"Communication Services",1.61307072576042
"134",2018-05-07,"Utilities",4.25416976862556
"135",2018-05-07,"Real Estate",3.78992026656574
"136",2018-05-14,"Energy",3.46359384699086
"137",2018-05-14,"Materials",2.81295609856761
"138",2018-05-14,"Industrials",2.29730358844583
"139",2018-05-14,"Consumer Discretionary",1.86900222404324
"140",2018-05-14,"Consumer Staples",3.11069740274417
"141",2018-05-14,"Health Care",2.13147598837655
"142",2018-05-14,"Financials",2.88830148064867
"143",2018-05-14,"Information Technology",1.5382654121354
"144",2018-05-14,"Communication Services",1.57777918381947
"145",2018-05-14,"Utilities",4.29676267324428
"146",2018-05-14,"Real Estate",3.78099057551448
"147",2018-05-22,"Energy",3.38827878509996
"148",2018-05-22,"Materials",2.76291298703151
"149",2018-05-22,"Industrials",2.2802928993225
"150",2018-05-22,"Consumer Discretionary",1.84829373261255
"151",2018-05-22,"Consumer Staples",3.09879441423661
"152",2018-05-22,"Health Care",2.12445625481906
"153",2018-05-22,"Financials",2.90201712297049
"154",2018-05-22,"Information Technology",1.5472238416084
"155",2018-05-22,"Communication Services",1.5944047393989
"156",2018-05-22,"Utilities",4.35349131980133
"157",2018-05-22,"Real Estate",3.86026122466802
"158",2018-05-28,"Energy",3.59813974710374
"159",2018-05-28,"Materials",2.83010712779304
"160",2018-05-28,"Industrials",2.30143842432432
"161",2018-05-28,"Consumer Discretionary",1.83842156311738
"162",2018-05-28,"Consumer Staples",3.08902048320737
"163",2018-05-28,"Health Care",2.13680316055281
"164",2018-05-28,"Financials",2.95106782288409
"165",2018-05-28,"Information Technology",1.54106866501693
"166",2018-05-28,"Communication Services",1.5922090155935
"167",2018-05-28,"Utilities",4.34021176344138
"168",2018-05-28,"Real Estate",3.83356997962566
"169",2018-06-04,"Energy",3.48999454187826
"170",2018-06-04,"Materials",2.81495566857882
"171",2018-06-04,"Industrials",2.30526837171169
"172",2018-06-04,"Consumer Discretionary",1.84362531875149
"173",2018-06-04,"Consumer Staples",3.09725883153916
"174",2018-06-04,"Health Care",2.13157753864652
"175",2018-06-04,"Financials",3.00031204674365
"176",2018-06-04,"Information Technology",1.51663933729593
"177",2018-06-04,"Communication Services",1.56614327565218
"178",2018-06-04,"Utilities",4.36033882149763
"179",2018-06-04,"Real Estate",3.76068768374779
"180",2018-06-11,"Energy",3.48411540060966
"181",2018-06-11,"Materials",2.76808336349799
"182",2018-06-11,"Industrials",2.29699653685631
"183",2018-06-11,"Consumer Discretionary",1.82328155891362
"184",2018-06-11,"Consumer Staples",3.07871119832193
"185",2018-06-11,"Health Care",2.11028225589746
